Neil Young,After the Gold Rush,5EVlXlHbRQI8ybuNt4ArXI
James Brown,Star Time,2yuTyv0L51qvYuI5RIktlA
Prince and the Revolution,Purple Rain,7nXJ5k4XgRj5OLg9m8V3zc
ACDC,Back in Black,6mUdeDZCsExyJLMdAfDuwh
Otis Redding,Otis Blue Otis Redding Sings Soul,68BCjMsHX4Gf11BJSkjwGz
Led Zeppelin,Led Zeppelin II,70lQYZtypdCALtFVlQAcvx
John Lennon,Imagine,0xzaemKucrJpYhyl7TltAk
The Clash,The Clash,1ZH5g1RDq3GY1OvyD0w0s2
Neil Young,Harvest,2l3QxNo4QubBNmVKxLeum0
The Jimi Hendrix Experience,Axis Bold as Love,3uFZf8rykoHo7XMIQVYW6r
Aretha Franklin,I Never Loved a Man the Way I Love You,5WndWfzGwCkHzAbQXVkg2V
Aretha Franklin,Lady Soul,7lEOKZaOpqP70UYqdLPejG
Bruce Springsteen,Born in the U.S.A.,0PMasrHdpaoIRuHuhHp72O
Pink Floyd,The Wall,5Dbax7G8SWrP9xyzkOvy2F
Johnny Cash,At Folsom Prison,4TJIdlY9hGSSTO1kUs1neh
Dusty Springfield,Dusty in Memphis,6SNMenG3NjZyqgI5p4Hcmg
Stevie Wonder,Talking Book,3PResMqFgQYBfzTnqTKwQw
Elton John,Goodbye Yellow Brick Road,5WupqgR68HfuHt3BMJtgun
Buddy Holly,20 Golden Greats,5ourevL93kFzjWH6lIyT42
Hank Williams,40 Greatest Hits,6zIYEv6soMoaZiypsHB5dd
Miles Davis,Bitches Brew,3Q0zkOZEOC855ErOOJ1AdO
The Who,Tommy,2PFiZ23ZyPTcgwmXk4X6o0
Bob Dylan,The Freewheelin' Bob Dylan,0o1uFxZ1VTviqvNaYkTJek
Elvis Costello,This Year's Model,0mUFefHSr0Ovi9vNcUGppt
Sly & The Family Stone,There's a Riot Goin' On,0ihYToxMgYcuHuxOKjGQKO
The Zombies,Odessey and Oracle,7K6JtyaSSVr7HidQsCHun0
Frank Sinatra,In the Wee Small Hours,3GmwKB1tgPZgXeRJZSm9WX
Cream,Fresh Cream,6iyKqDoL9pRSHUsDBYemlB
John Coltrane,Giant Steps,3kxiL93hCFCIXkXJBLcYDi
James Taylor,Sweet Baby James,1HiG0ukRmFPN13EVcf98Jx
Ray Charles,Modern Sounds in Country and Western Music,4j4w5DDWMKD7ePStAl19OF
Ramones,Rocket to Russia,7Jb0VtDTacuQdXM3pYyrbv
Sam Cooke,Portrait of a Legend 1951-1964,4jiO2jRz7g50ESvYYKsKwZ
David Bowie,Hunky Dory,6fQElzBNTiEMGdIeY0hy5l
The Rolling Stones,Aftermath,72qrnM4yUNMDDlWiqKc8iY
The Velvet Underground,Loaded,2ny1rPsLOoKNFZhMLubMrs
Radiohead,The Bends,500FEaUzn8lN9zWFyZG5C2
The Mamas and the Papas,If You Can Believe Your Eyes and Ears,6zK7GV2JCqLknAdTeIhooB
Joni Mitchell,Court and Spark,2akjxkzFolkeV72Yyv5KrM
Cream,Disraeli Gears,3W6CI0Lw7lElAPID2Fd3B4
The Who,The Who Sell Out,5jDvKpQwuNQuuv9oURPK54
The Rolling Stones,Out of Our Heads,2Q5MwpTmtjscaS34mJFXQQ
Derek and the Dominos,Layla and Other Assorted Love Songs,5iIWnMgvSM8uEBwXKsPcXM
Kanye West,Late Registration,5ll74bqtkcXlKE7wwkMq4g
Etta James,At Last,7rd4PorIOPjPTy7qdUeeCt
The Byrds,Sweetheart of the Rodeo,02XyFDfvHfIwtqOC3o0PcK
Sly & The Family Stone,Stand,2F66LRNUc5LQRC9qEVhfeu
Various Artists,The Harder They Come,4oxdKcC9epGo9viy1j8fN7
Run D.M.C.,Raising Hell,7AFsTiojVaB2I58oZ1tMRg
Moby Grape,Moby Grape,4ksxzjuuITx7XFM9zobakS
Janis Joplin,Pearl,3j7nicLAWXM0Fb08q9XGyf
The Wailers,Catch a Fire,39kLAVdcgW7jbMcTEaY2qy
The Byrds,Younger Than Yesterday,33puYJ2y5qANDenRmL8BS1
Iggy and The Stooges,Raw Power,6mxbG8KrOTZIxlP4gzaliM
Talking Heads,Remain in Light,3AQgdwMNCiN7awXch5fAaG
Television,Marquee Moon,630o1rKTDsLeIPreOY1jqP
Black Sabbath,Paranoid,6r7LZXAVueS5DqdrvXJJK7
Various Artists,Saturday Night Fever The Original Movie Sound Track,3xaCKtqadm4KnviPFKEjs7
Bruce Springsteen,"The Wild, the Innocent & the E Street Shuffle",1rmhti8uHw21LnaWMQy608
The Notorious B.I.G.,Ready to Die,2HTbQ0RHwukKVXAlTmCZP2
Pavement,Slanted and Enchanted,3EdtFWfLmkT5mC1QFXgqIW
Elton John,Greatest Hits,1WBZyULtlANBKed7Zf9cDP
The Replacements,Tim,6Wq84YPRzpAIY8CEeluUlv
Dr. Dre,The Chronic,6vdFSyhPjL4dZFkgRtToXH
The Meters,Rejuvenation,3OoFKxuziLv3B3NxhEJwOW
Blondie,Parallel Lines,4M6s2jbhKWEcOdXZ8WiHts
B.B. King,Live at the Regal,7njGz7ZeDXL6cH3VnflcQ2
