Novos Baianos,Acabou Chorare,5pIlMNPZh4D9iJSoCfMzGi
Chico Buarque,Construção,7yrRo2o4XzDfv3mNnkPRE5
João Gilberto,Chega de Saudade,0ss6hyjblBNVw8Hmwrtt77
Secos & Molhados,Secos & Molhados,4rNGFFaXZ7l0Vg6QrcHcUi
Jorge Ben,A Tábua de Esmeralda,5rcMJNWebtl2r2S18Je1A0
Milton Nascimento & Lô Borges,Clube da Esquina,5risYG7klZCSLMNxB9dZhf
Cartola,Cartola,0i9SwtLwZ8cOuH5qtkwTvT
Os Mutantes,Os Mutantes,0RBkIFbQy91qv8Tqja20og
Caetano Veloso,Transa,4jQW2mhMH3TxtAOol3Djuf
Elis Regina e Tom Jobim,Elis & Tom,3SE9n6EaVOJ81KA1KPLUWS
Raul Seixas,"Krig-ha, Bandolo",2xRddGxRH0KdDWLNE5b0iu
Chico Science & Nação Zumbi,Da Lama ao Caos,0W6hOSkA2g1BAXvwHUw7ds
Racionais MC's,Sobrevivendo no Inferno,1UzrzuOmZfBgXyS3pgKD10
Jorge Ben,Samba Esquema Novo,3xWp6y0HGsHZlXljNs7VRy
Rita Lee & Tutti Frutti,Fruto Proibido,3DEUsdQQADo5TU03rS52vu
Tim Maia,Racional,7J9wATH6I891OTHteIWSEj
Chico Science & Nação Zumbi,Afrociberdelia,3cG4WKesy6hUXEPfPcdxs6
Titãs,Cabeça Dinossauro,557bzwt1Yb2hUSGIZNrToj
Legião Urbana,Dois,4OCJTpOLqSgysGY4yBCGhn
Os Mutantes,A Divina Comédia,7Brj8kqhEO9Zg4daamMieT
Moacir Santos,Coisas,0FaC1N7xoN4Bloe1R1U42k
Roberto Carlos,Roberto Carlos Em Ritmo de Aventura,3KeKUu9wPs4UblQt710AVl
Tim Maia,Tim Maia,6gK1Uf1uZolqGBibGaW5qK
Gilberto Gil,Expresso 2222,2mZXPZKAHvZktvDAz6uxOJ
Ultraje a Rigor,Nós Vamos Invadir sua Praia,4RaL4Oo9xLh5e1BlLV76Tr
Roberto Carlos,Roberto Carlos,1BUoeZ3aXcdcn6vN2lOPLQ
Baden Powell e Vinicius de Moraes,Os Afro-Sambas,4zyGU4SFL8DEE9Ee9yAjnk
Erasmo Carlos,"Carlos, Erasmo",2qimhNvbQmkAxG9GS8wj5M
Luiz Melodia,Pérola Negra,4kpq1IrSF51RDZbjClaiJx
Arnaldo Baptista,Lóki,71S4qufXIuTYyJRIUHNHPH
Tom Zé,Estudando o Samba,2jOgajtpXNsinBpwg2dUjH
Elis Regina,Falso Brilhante,18p3b48JyIK5XY90JmWxET
Caetano Veloso,Caetano Veloso,3idXLXoZDLQyxAHF97yguf
Banda Black Rio,Maria Fumaça,7KoQPmHEfDU7Sf61BfkhgG
Os Paralamas do Sucesso,Selvagem,5omevXOvohMm14J4ctCrp7
Legião Urbana,Legião Urbana,3wN9mC8YEdxn4VzdQINF1k
Los Hermanos,Bloco do Eu Sozinho,002IhaQrqlVoyLhsTlzLd8
Gilberto Gil,Refazenda,3lcMJgSMQvhX85yVjvQpRa
Os Mutantes,Mutantes,63cmfLGQUMuPRwgllZmz6a
Raimundos,Raimundos,38aIZxDi10QSpizgMO6cKE
Sepultura,Chaos A.D.,5r4qa5AIQUVypFRXQzjaiu
João Gilberto,João Gilberto,2W6Hvrtg2Zpc9dW4aBDbdP
Tim Maia,Tim Maia Racional Vol 2,3Vpb5P5TdFkFvfnYWxLZ0R
Walter Franco,Revolver,3PRoXYsngSwjEQWR5PsHWR
Arrigo Barnabé,Clara Crocodilo,2dtE0MHIxqSi5sP5S84Egd
Cartola,Cartola,0i9SwtLwZ8cOuH5qtkwTvT
Raul Seixas,Novo Aeon,3wik7rgUN8VqYbVT7SwvOI
Gilberto Gil,Refavela,7gl0SUDwWTOdUehXFypXna
Paulinho da Viola,Nervos de Aço,04U2cXd9SJGgtDmuhVsiSS
João Gilberto,Amoroso,2SQ2YrWlVLAZ05jogsM5bH
Sepultura,Roots,75jYWD10CXalHSPDppZxZ7
Tom Jobim,"The Composer of Desafinado, Plays",4mzp7IQ7LAh9TAuKrwc9PE
Elizeth Cardoso,Canção do Amor Demais,6Ke1077Cdzt5iCJ3n14bJG
Jorge Ben,Força Bruta,2jA9F6zdVS8tQ7jhS2RqTO
Marisa Monte,MM,43yC4eriRHqTxGpb364KaR
Milton Nascimento,Milagre dos Peixes,1n1tpVHEeCG7XG7aJaxayU
Nelson Cavaquinho,Nelson Cavaquinho,1NIA5CBKRCLpHL62x7GcAZ
Caetano Veloso,Cinema Transcendental,64JvR5shy7j04mTiX0wfNp
Jorge Ben,África Brasil,0esHQqYklDPje00NUNq6py
Los Hermanos,Ventura,0YF8PfcGbsKg5IaFyPnlyY
Mundo Livre SA,Samba Esquema Noise,3K2owtClhij5rd8N00j0Ie
"João Gilberto, Stan Getz e Tom Jobim",GetzGilberto,2W6Hvrtg2Zpc9dW4aBDbdP
Os Mutantes,Jardim Elétrico,1BBamdq6Y45NLtttJlBxrf
Angela Ro Ro,Angela Ro Ro,5b9KqfZmD65KQNs6vD4VBd
Titãs,Õ Blésq Blom,29EF7CaTbAf6Jvi7ycG9ya
Tim Maia,Tim Maia,6gK1Uf1uZolqGBibGaW5qK
Gilberto Gil,Gilberto Gil,3vVOaBhCsnOWalEPRnLEUC
Maria Bethânia,Álibi,2W5u3Jq1YRu58MeYSIiqZV
Gal Costa,Gal Costa,5ZVLLME05cmciSZz4IGcZu
Ira,Psicoacústica,5rY7yl2a6rbIfYeW4JlK5j
Roberto Carlos,O Inimitável,2UDYrbk2ZYgb7iXEANwQjP
Tom Jobim,Matita Perê,1BOxN5riotUGAug8z4fEt9
Roberto Carlos,Jovem Guarda,0ioiMCxqwWRRoyhf89HpGD
Marisa Monte,"Verde, Anil, Amarelo, Cor-de-Rosa e Carvão",26OYzOWjelS4qNuP27Ac6i
Racionais MC's,Nada como um Dia após o Outro Dia,4HcPzKyKVtcZCwJgesoZWn
Mundo Livre SA,Carnaval na Obra,3QGgIqzfnJo6SmAXkHWbZT
João Donato,Quem é Quem,2D85Mr4KfXp3K46q2NOtiS
Gal Costa,Cantar,4jY3KTb8z9OZiIM92pTuNe
Tom Jobim,Wave,1AUsxZCiuepKGBHt3F3ZJA
O Rappa,Lado B Lado A,3I1bOo70cU0y7PprxCGgAs
Ira,Vivendo e Não Aprendendo,7tMZCSJn9O7uEEOTczU9T9
Júpiter Maçã,A Sétima Efervescência,0RksHIpKt2dG7dTftXioKf
Caetano Veloso,Araçá Azul,0RbdAMsAipIgzQYPikwBZA
Elis Regina,Elis,0JD12O9BYBGhhGCpF61lDT
RPM,Revoluções por Minuto,1hbH0q0Ff3BRP2iuwLd5om
Egberto Gismonti,Circense,4QiKiYTKnOQYh843XVfFQz
